name	version	repository	architecture	download_bytes	url	sha256
libxft	2.3.9-1	extra	aarch64	58276	http://mirror.archlinuxarm.org/aarch64/extra/libxft-2.3.9-1-aarch64.pkg.tar.xz	30a770b25a75ff27cc96bf7b2c7fa8c022a6784786c1614a5a4564c86d1196af
libxkbcommon	1.13.2-1	extra	aarch64	263628	http://mirror.archlinuxarm.org/aarch64/extra/libxkbcommon-1.13.2-1-aarch64.pkg.tar.xz	76b922d87d0af0011072b156464041ec5674f24ff1c78b7e85132fda72c9a7e7
libxkbfile	1.2.0-1	extra	aarch64	69720	http://mirror.archlinuxarm.org/aarch64/extra/libxkbfile-1.2.0-1-aarch64.pkg.tar.xz	cb98c65dd555dc3bd7dfbeb2745966da3631be2ac218bcf234f73bdf6ea33deb
libxrandr	1.5.5-1	extra	aarch64	25596	http://mirror.archlinuxarm.org/aarch64/extra/libxrandr-1.5.5-1-aarch64.pkg.tar.xz	50ced1a5945e325ef28fd4a5f9ee3e45e49f538841271f49326916576213a5f3
libxrender	0.9.12-1	extra	aarch64	27784	http://mirror.archlinuxarm.org/aarch64/extra/libxrender-0.9.12-1-aarch64.pkg.tar.xz	f5f344d116ff42b379c50ef595e7e9a3a6f7ed09357f8cd3acab90a3d11c9960
libxshmfence	1.3.3-1	extra	aarch64	6188	http://mirror.archlinuxarm.org/aarch64/extra/libxshmfence-1.3.3-1-aarch64.pkg.tar.xz	d137d6cc13a75284267cd56beabfde6094fb1a4f8fb373af555c2e47c0e6b636
libxxf86vm	1.1.7-1	extra	aarch64	15016	http://mirror.archlinuxarm.org/aarch64/extra/libxxf86vm-1.1.7-1-aarch64.pkg.tar.xz	9c07efd6fe6040a7e2d19af307c74d5f2235b6313e74710a29ecedb56f9a6ded
libzip	1.11.4-1	extra	aarch64	258420	http://mirror.archlinuxarm.org/aarch64/extra/libzip-1.11.4-1-aarch64.pkg.tar.xz	6f108f41399e25a1c20c4deb0b4c89d41d568f810c78104d20628fb7eb241f83
llvm-libs	22.1.8-2	extra	aarch64	36838688	http://mirror.archlinuxarm.org/aarch64/extra/llvm-libs-22.1.8-2-aarch64.pkg.tar.xz	f3119b25813452a1cddd84ea985d7d76d9da41201b39e82f15cf23c2d3ed348e
lm_sensors	1:3.6.2-1	extra	aarch64	125904	http://mirror.archlinuxarm.org/aarch64/extra/lm_sensors-1:3.6.2-1-aarch64.pkg.tar.xz	dc855daccb5fe4a7f89702db47bd3c53b3047dee8de92df2de975fe130985eb5
lua	5.5.1-1	extra	aarch64	309320	http://mirror.archlinuxarm.org/aarch64/extra/lua-5.5.1-1-aarch64.pkg.tar.xz	bc30a8770a0e8bf42cdba5b49c1dcffce547396405526130845719cab5adf72d
lua54	5.4.9-1	extra	aarch64	295844	http://mirror.archlinuxarm.org/aarch64/extra/lua54-5.4.9-1-aarch64.pkg.tar.xz	a62e066b9be68ff57fcbacaef77a9b01abca19f8524a9896f4e90b2cae1f55ef
lzo	2.10-5	core	aarch64	78388	http://mirror.archlinuxarm.org/aarch64/core/lzo-2.10-5-aarch64.pkg.tar.xz	7831512f18a7764b64f04c2c3483405c7576aefaf543b3fcfd462721afcf3c7d
mesa	1:26.2.3-1	extra	aarch64	12641532	http://mirror.archlinuxarm.org/aarch64/extra/mesa-1:26.2.3-1-aarch64.pkg.tar.xz	7cfebbe7a026f65134aed27d55892b022071d59333a48a4e385b294f4c4387c1
mtdev	1.1.7-1	extra	aarch64	16448	http://mirror.archlinuxarm.org/aarch64/extra/mtdev-1.1.7-1-aarch64.pkg.tar.xz	c6629223522c2e0f239fae28319c2519d4e584ea9dd4a0bd05ac3e830d445808
muparser	2.3.5-2	extra	aarch64	140064	http://mirror.archlinuxarm.org/aarch64/extra/muparser-2.3.5-2-aarch64.pkg.tar.xz	b24f24e43aa24fb1741e4c83a4da982275501e8cdf04677997067bb1cc1fab26
pango	1:1.58.2-1	extra	aarch64	414852	http://mirror.archlinuxarm.org/aarch64/extra/pango-1:1.58.2-1-aarch64.pkg.tar.xz	89712127cef41515a3a7b92bc632dcb9c635e9088126ee238d3b63f675d4e7eb
pixman	0.46.4-1.1	extra	aarch64	181292	http://mirror.archlinuxarm.org/aarch64/extra/pixman-0.46.4-1.1-aarch64.pkg.tar.xz	4d20f22998a75c9fe1d38c86cd6f4324120fc2bb02f4a749e4794daac6b87dd2
pugixml	1.16-1	extra	aarch64	94336	http://mirror.archlinuxarm.org/aarch64/extra/pugixml-1.16-1-aarch64.pkg.tar.xz	dc5562ca261b061942aba15b463223a492b4e3f53d427c63cf9583d46b5e2069
re2	2:2025.11.05-6	extra	aarch64	194992	http://mirror.archlinuxarm.org/aarch64/extra/re2-2:2025.11.05-6-aarch64.pkg.tar.xz	3b970a665b28815a94bd3695646e7dc42af77b78eb7370c4fea59cfedbb2395c
seatd	0.9.3-1	extra	aarch64	37408	http://mirror.archlinuxarm.org/aarch64/extra/seatd-0.9.3-1-aarch64.pkg.tar.xz	0eb64d4af642f43af2309176be32e66534f84cb03edd49ad0666fc6a1c4063b7
